company_id,year,net_profit,operating_profit,opm_percentage,eps
RELIANCE,TTM,79941.0,164128.0,17.46,51.0
RELIANCE,Mar 2024,79020.0,162498.0,18.07,51.0
SBIN,TTM,74461.0,-59190.0,-12.6,80.0
RELIANCE,Mar 2023,74088.0,142318.0,16.24,49.0
HDFCBANK,TTM,72168.0,206009.0,62.61,91.0
SBIN,Mar 2024,69543.0,-60297.0,-13.73,75.0
RELIANCE,Mar 2022,67845.0,108581.0,15.63,45.0
HDFCBANK,Mar 2024,65446.0,174196.0,61.41,84.0
SBIN,Mar 2023,57750.0,-43439.0,-12.38,62.0
ONGC,Mar 2024,57101.0,102835.0,17.39,39.0
RELIANCE,Mar 2021,53739.0,80790.0,17.33,39.0
ICICIBANK,TTM,52416.0,125722.0,69.63,70.0
ONGC,Mar 2022,49294.0,79874.0,16.26,36.0
TCS,TTM,49006.0,67591.0,26.81,135.0
HDFCBANK,Mar 2023,46149.0,63042.0,36.92,82.0
TCS,Mar 2024,46099.0,64296.0,26.69,127.0
ICICIBANK,Mar 2024,46081.0,99560.0,62.41,63.0
IOC,Mar 2024,43161.0,75646.0,9.74,30.0
ONGC,TTM,42320.0,85870.0,13.04,33.0
TCS,Mar 2023,42303.0,59259.0,26.28,115.0
